,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
0,sz002805,N丰元,化工原料,山东,30.2,2422.89,9691.37,46923.03,21096.95,19131.65,7239.6,0.75,0.069,5.67,1.47,20160707
1,sh600467,好当家,渔业,山东,217.03,146099.44,146099.44,504807.16,146374.47,247981.95,112897.7,0.77,0.006,2.01,2.38,20040405
2,sz000795,英洛华,矿物制品,山西,402.1,65279.01,113368.4,188668.73,110893.47,47959.23,113469.02,1.0,0.006,1.34,7.45,19970808
3,sz000758,中色股份,铅锌,北京,70.18,180298.09,196937.84,2355274.75,1602407.25,303058.06,190689.59,0.97,0.033,2.42,3.85,19970416
4,sz000890,法 尔 胜,钢加工,江苏,554.74,37956.57,37964.16,295558.5,185985.22,57424.82,47292.62,1.25,0.005,2.76,4.28,19990119
5,sz000919,金陵药业,化学制药,江苏,39.62,50316.89,50400.0,385160.31,243069.05,97566.9,46626.55,0.93,0.095,4.94,3.04,19991118
6,sh600848,上海临港,园区开发,上海,1264.57,29214.14,89517.21,701336.13,542363.81,946.97,198700.84,2.22,0.004,3.49,5.35,19940324
7,sz000551,创元科技,专用机械,江苏,83.11,40008.03,40008.03,338034.66,198566.06,87817.13,32768.64,0.82,0.03,3.35,3.02,19940106
8,sz002738,中矿资源,建筑施工,北京,0.0,8784.29,18691.5,75312.53,47008.15,16525.99,30775.4,1.65,0.007,2.95,8.7,20141230
9,sz002058,威 尔 泰,电器仪表,上海,0.0,14340.82,14344.83,22137.15,16581.15,3218.12,37.47,0.0,0.037,1.23,21.0,20060802
10,sh600459,贵研铂业,小金属,云南,141.66,26097.76,26097.76,352934.0,248339.02,56913.41,116742.17,4.47,0.061,6.91,5.01,20030516
11,sh600198,大唐电信,通信设备,北京,0.0,83942.25,88210.84,1397369.88,840777.88,81681.57,369389.81,4.19,0.171,4.44,4.94,19981021
12,sh603016,新宏泰,电气设备,江苏,46.99,3705.0,14816.0,57508.23,37008.31,7252.93,2165.0,0.15,0.095,4.25,4.21,20160701
13,sh603799,华友钴业,小金属,浙江,0.0,26392.19,53519.0,969207.81,507450.5,302612.78,121736.55,2.27,0.065,4.39,10.4,20150129
14,sh601127,小康股份,汽车配件,重庆,72.68,14250.0,89250.0,1401947.0,0.0,0.0,0.0,0.0,0.132,3.62,10.62,20160615
15,sz300346,南大光电,元器件,江苏,3128.66,12282.25,16086.4,127782.96,89758.77,19632.17,66062.65,4.11,0.004,7.45,6.82,20120807
16,sz300519,新光药业,中成药,浙江,20.83,2000.0,8000.0,39960.75,28125.68,4390.58,4782.85,0.6,0.497,5.79,7.15,20160624
17,sz300196,长海股份,玻璃,江苏,42.54,10995.42,19200.0,231351.22,85011.25,114911.57,45688.05,2.38,0.253,6.99,6.15,20110329
18,sz002390,信邦制药,中成药,贵州,106.34,73385.89,170489.56,1028553.0,561326.44,143910.88,389573.56,2.29,0.026,3.64,2.99,20100416
19,sz300442,普丽盛,轻工机械,上海,415.51,5889.25,10000.0,127243.06,78557.3,18578.13,52063.42,5.21,0.034,9.74,5.78,20150424
20,sh603959,百利科技,建筑施工,湖南,1306.92,5600.0,22400.0,119956.17,107711.02,4888.9,1817.73,0.08,0.009,2.76,17.27,20160517
21,sz300522,世名科技,染料涂料,江苏,43.16,1667.0,6667.0,33517.85,17482.5,4053.37,1882.3,0.28,0.187,4.41,7.32,20160705
22,sz002801,微光股份,电气设备,浙江,61.99,1472.0,5888.0,51780.35,36888.12,11343.94,4142.85,0.7,0.323,9.73,8.24,20160622
